timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,confidence,alert_level
2025-04-21 21:58:05,192.168.36.175,52.182.143.215,55430,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:58:07,52.182.143.215,192.168.36.175,443,55428,TCP,NORMAL,0.9987,HIGH
2025-04-21 21:58:08,52.182.143.215,192.168.36.175,443,55429,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:58:10,52.182.143.215,192.168.36.175,443,55430,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:58:11,192.168.36.175,140.82.112.25,55432,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:58:14,140.82.112.25,192.168.36.175,443,55432,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:58:19,192.168.36.175,52.84.12.43,55288,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:22,52.84.12.43,192.168.36.175,443,55288,TCP,NORMAL,0.9991,HIGH
2025-04-21 21:58:24,192.168.36.175,35.174.127.31,54018,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:27,35.174.127.31,192.168.36.175,443,54018,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:58:30,192.168.36.175,108.158.251.60,55376,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:33,192.168.36.175,18.67.156.207,55377,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:36,18.67.156.207,192.168.36.175,443,55377,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:58:39,108.158.251.60,192.168.36.175,443,55376,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:58:42,192.168.36.175,34.237.108.126,55381,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:44,34.237.108.126,192.168.36.175,443,55381,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:58:47,192.168.36.175,35.201.127.49,55417,443,TCP,NORMAL,0.9999,HIGH
2025-04-21 21:58:50,35.201.127.49,192.168.36.175,443,55417,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:58:53,192.168.36.175,172.67.73.98,55292,443,TCP,NORMAL,0.9980,HIGH
2025-04-21 21:58:54,172.67.73.98,192.168.36.175,443,55292,TCP,NORMAL,0.9990,HIGH
2025-04-21 21:58:56,192.168.36.175,34.139.124.58,55421,443,TCP,NORMAL,0.9988,HIGH
2025-04-21 21:58:57,34.139.124.58,192.168.36.175,443,55421,TCP,NORMAL,0.9992,HIGH
2025-04-21 21:58:58,192.168.36.175,140.82.113.26,54525,443,TCP,NORMAL,0.9989,HIGH
2025-04-21 21:58:59,140.82.113.26,192.168.36.175,443,54525,TCP,NORMAL,0.9993,HIGH
2025-04-21 21:59:00,192.168.36.175,52.182.143.215,55428,443,TCP,NORMAL,0.9999,HIGH
